activity subject variable mean
walking_downstairs 17 tBodyAcc.mean...X 0.29391828326087
walking_downstairs 18 tBodyAcc.mean...X 0.288439468909091
walking_downstairs 19 tBodyAcc.mean...X 0.262688053871795
walking_downstairs 20 tBodyAcc.mean...X 0.296144421355556
walking_downstairs 21 tBodyAcc.mean...X 0.3014610196
walking_downstairs 22 tBodyAcc.mean...X 0.284458963861111
walking_downstairs 23 tBodyAcc.mean...X 0.289897411148148
walking_downstairs 24 tBodyAcc.mean...X 0.288631208909091
walking_downstairs 25 tBodyAcc.mean...X 0.291329666206897
walking_downstairs 26 tBodyAcc.mean...X 0.2792845828
walking_downstairs 27 tBodyAcc.mean...X 0.2975441875
walking_downstairs 28 tBodyAcc.mean...X 0.293642076521739
walking_downstairs 29 tBodyAcc.mean...X 0.293140441083333
walking_downstairs 30 tBodyAcc.mean...X 0.283190646967742
walking_upstairs 1 tBodyAcc.mean...X 0.255461689622641
walking_upstairs 2 tBodyAcc.mean...X 0.247164790395833
walking_upstairs 3 tBodyAcc.mean...X 0.260819873067797
walking_upstairs 4 tBodyAcc.mean...X 0.270876696730769
walking_upstairs 5 tBodyAcc.mean...X 0.268459469914894
walking_upstairs 6 tBodyAcc.mean...X 0.268229355098039
walking_upstairs 7 tBodyAcc.mean...X 0.248706923078431
walking_upstairs 8 tBodyAcc.mean...X 0.258880152048781
walking_upstairs 9 tBodyAcc.mean...X 0.262436475714286
walking_upstairs 10 tBodyAcc.mean...X 0.267121853404255
walking_upstairs 11 tBodyAcc.mean...X 0.263775859277778
walking_upstairs 12 tBodyAcc.mean...X 0.272970338653846
walking_upstairs 13 tBodyAcc.mean...X 0.258203939581818
walking_upstairs 14 tBodyAcc.mean...X 0.26242106612963
walking_upstairs 15 tBodyAcc.mean...X 0.270187595833333
walking_upstairs 16 tBodyAcc.mean...X 0.255986102627451
walking_upstairs 17 tBodyAcc.mean...X 0.252604768583333
walking_upstairs 18 tBodyAcc.mean...X 0.265401201896552
walking_upstairs 19 tBodyAcc.mean...X 0.242118808925
walking_upstairs 20 tBodyAcc.mean...X 0.252098317156863
walking_upstairs 21 tBodyAcc.mean...X 0.265194544680851
walking_upstairs 22 tBodyAcc.mean...X 0.248391534566667
walking_upstairs 23 tBodyAcc.mean...X 0.249995171031373
walking_upstairs 24 tBodyAcc.mean...X 0.269881106779661
walking_upstairs 25 tBodyAcc.mean...X 0.277995411384615
walking_upstairs 26 tBodyAcc.mean...X 0.272691394545455
walking_upstairs 27 tBodyAcc.mean...X 0.265770253921569
walking_upstairs 28 tBodyAcc.mean...X 0.262005841764706
walking_upstairs 29 tBodyAcc.mean...X 0.265423066877551
walking_upstairs 30 tBodyAcc.mean...X 0.271415642261538
laying 1 tBodyAcc.mean...Y -0.0405139534294
laying 2 tBodyAcc.mean...Y -0.0181587397583333
laying 3 tBodyAcc.mean...Y -0.0189556785048387
laying 4 tBodyAcc.mean...Y -0.0150031841055556
laying 5 tBodyAcc.mean...Y -0.0183042123269231
laying 6 tBodyAcc.mean...Y -0.0102529170561404
laying 7 tBodyAcc.mean...Y -0.0204411516884615
laying 8 tBodyAcc.mean...Y -0.0212281733881481
laying 9 tBodyAcc.mean...Y -0.020526821662
laying 10 tBodyAcc.mean...Y -0.024294484137931
laying 11 tBodyAcc.mean...Y -0.0176598052315789
laying 12 tBodyAcc.mean...Y -0.0175203917146667
laying 13 tBodyAcc.mean...Y -0.020440454366129
laying 14 tBodyAcc.mean...Y -0.0113424652490196
laying 15 tBodyAcc.mean...Y -0.0166296542054167
laying 16 tBodyAcc.mean...Y -0.0166103510562857
laying 17 tBodyAcc.mean...Y -0.0168462006729577
laying 18 tBodyAcc.mean...Y -0.0173937684615385
laying 19 tBodyAcc.mean...Y -0.0171426864421687
laying 20 tBodyAcc.mean...Y -0.0144406281132353
laying 21 tBodyAcc.mean...Y -0.0184233048415556
laying 22 tBodyAcc.mean...Y -0.0142629864502778
laying 23 tBodyAcc.mean...Y -0.0216553835833333
laying 24 tBodyAcc.mean...Y -0.0173555210111111
laying 25 tBodyAcc.mean...Y -0.0188943663671233
laying 26 tBodyAcc.mean...Y -0.0191895728026316
laying 27 tBodyAcc.mean...Y -0.0179867611216216
laying 28 tBodyAcc.mean...Y -0.0167537858225
laying 29 tBodyAcc.mean...Y -0.0171965484202899
laying 30 tBodyAcc.mean...Y -0.0194494098614286
sitting 1 tBodyAcc.mean...Y -0.00130828765170213
sitting 2 tBodyAcc.mean...Y -0.0156879937282609
sitting 3 tBodyAcc.mean...Y -0.00350299841730769
sitting 4 tBodyAcc.mean...Y -0.007163065158
sitting 5 tBodyAcc.mean...Y -0.00990083527045455
sitting 6 tBodyAcc.mean...Y -0.0145911615290909
sitting 7 tBodyAcc.mean...Y -0.01461097580375
sitting 8 tBodyAcc.mean...Y -0.00672550621304348
sitting 9 tBodyAcc.mean...Y -0.02701677698
sitting 10 tBodyAcc.mean...Y -0.015042681852037
sitting 11 tBodyAcc.mean...Y -0.0149195616754717
sitting 12 tBodyAcc.mean...Y -0.0157892988523529
sitting 13 tBodyAcc.mean...Y -0.00587732936326531
sitting 14 tBodyAcc.mean...Y -0.00870565463888889
sitting 15 tBodyAcc.mean...Y -0.0117188472271186
sitting 16 tBodyAcc.mean...Y -0.0102497939956522
sitting 17 tBodyAcc.mean...Y -0.014156274084375
sitting 18 tBodyAcc.mean...Y -0.0128691279736842
sitting 19 tBodyAcc.mean...Y -0.016739260030137
sitting 20 tBodyAcc.mean...Y -0.0147229305131818
sitting 21 tBodyAcc.mean...Y -0.0144009705494118
sitting 22 tBodyAcc.mean...Y -0.0123468446419355
sitting 23 tBodyAcc.mean...Y -0.0133945015676471
sitting 24 tBodyAcc.mean...Y -0.0131255097938235
sitting 25 tBodyAcc.mean...Y -0.0147696808030769
sitting 26 tBodyAcc.mean...Y -0.00713364541358974
sitting 27 tBodyAcc.mean...Y -0.0155269799285714
sitting 28 tBodyAcc.mean...Y -0.0185404441258333
sitting 29 tBodyAcc.mean...Y -0.016630680375
sitting 30 tBodyAcc.mean...Y -0.00804731295322581
standing 1 tBodyAcc.mean...Y -0.0161375901037736
standing 2 tBodyAcc.mean...Y -0.0184208270166667
standing 3 tBodyAcc.mean...Y -0.0143376555065574
standing 4 tBodyAcc.mean...Y -0.00948911098553571
standing 5 tBodyAcc.mean...Y -0.00700418554517857
standing 6 tBodyAcc.mean...Y -0.0181236327175439
standing 7 tBodyAcc.mean...Y -0.0145740341037736
standing 8 tBodyAcc.mean...Y -0.0148113067148148
standing 9 tBodyAcc.mean...Y -0.0200454954022222
standing 10 tBodyAcc.mean...Y -0.0155418603409091
standing 11 tBodyAcc.mean...Y -0.0171990886595745
standing 12 tBodyAcc.mean...Y -0.0169002543196721
standing 13 tBodyAcc.mean...Y -0.0167891993964912
standing 14 tBodyAcc.mean...Y -0.01520781344
standing 15 tBodyAcc.mean...Y -0.0183516360396226
standing 16 tBodyAcc.mean...Y -0.0165999672935897
standing 17 tBodyAcc.mean...Y -0.0174120064169231
standing 18 tBodyAcc.mean...Y -0.0166353518150685
standing 19 tBodyAcc.mean...Y -0.0154244056945205
standing 20 tBodyAcc.mean...Y -0.0180695049161644
standing 21 tBodyAcc.mean...Y -0.0167084730205618
standing 22 tBodyAcc.mean...Y -0.0158563207496825
standing 23 tBodyAcc.mean...Y -0.0177475547867647
standing 24 tBodyAcc.mean...Y -0.0144785340348986
standing 25 tBodyAcc.mean...Y -0.0163569730274324
standing 26 tBodyAcc.mean...Y -0.0166608306652703
standing 27 tBodyAcc.mean...Y -0.016593236445
standing 28 tBodyAcc.mean...Y -0.0172635124672152
standing 29 tBodyAcc.mean...Y -0.0172605869061538
standing 30 tBodyAcc.mean...Y -0.0170163887813559
walking 1 tBodyAcc.mean...Y -0.0173838185273684
walking 2 tBodyAcc.mean...Y -0.0185949199145763
walking 3 tBodyAcc.mean...Y -0.0171767844203448
walking 4 tBodyAcc.mean...Y -0.0148399475341667
walking 5 tBodyAcc.mean...Y -0.0172850317482679
walking 6 tBodyAcc.mean...Y -0.0168954189082456
walking 7 tBodyAcc.mean...Y -0.018653665345614
walking 8 tBodyAcc.mean...Y -0.0186628865310417
walking 9 tBodyAcc.mean...Y -0.0180891971284423
walking 10 tBodyAcc.mean...Y -0.017022351190566
walking 11 tBodyAcc.mean...Y -0.0166475833623729
walking 12 tBodyAcc.mean...Y -0.015560927606
walking 13 tBodyAcc.mean...Y -0.0185660651947368
walking 14 tBodyAcc.mean...Y -0.0217785380966102
walking 15 tBodyAcc.mean...Y -0.0170809740090741
walking 16 tBodyAcc.mean...Y -0.0204286929452941
walking 17 tBodyAcc.mean...Y -0.0184875403339344
walking 18 tBodyAcc.mean...Y -0.0178023631866071
walking 19 tBodyAcc.mean...Y -0.0191773587903846
walking 20 tBodyAcc.mean...Y -0.021199992245098
walking 21 tBodyAcc.mean...Y -0.0181610317526923
walking 22 tBodyAcc.mean...Y -0.0167213607957174
walking 23 tBodyAcc.mean...Y -0.0183618711932203
walking 24 tBodyAcc.mean...Y -0.0225446400534483
walking 25 tBodyAcc.mean...Y -0.0186477624716216
walking 26 tBodyAcc.mean...Y -0.0154259586949153
walking 27 tBodyAcc.mean...Y -0.0166478783221912
walking 28 tBodyAcc.mean...Y -0.0156759722981481
walking 29 tBodyAcc.mean...Y -0.0162915600588679
walking 30 tBodyAcc.mean...Y -0.0175880385730769
walking_downstairs 1 tBodyAcc.mean...Y -0.00991850461020408
walking_downstairs 2 tBodyAcc.mean...Y -0.0226614158361702
walking_downstairs 3 tBodyAcc.mean...Y -0.0193554079328571
walking_downstairs 4 tBodyAcc.mean...Y -0.00980200850666667
walking_downstairs 5 tBodyAcc.mean...Y -0.00850107533191489
walking_downstairs 6 tBodyAcc.mean...Y -0.019536840063125
walking_downstairs 7 tBodyAcc.mean...Y -0.0166332372978723
walking_downstairs 8 tBodyAcc.mean...Y -0.0211058674973684
walking_downstairs 9 tBodyAcc.mean...Y -0.0203994269075476
walking_downstairs 10 tBodyAcc.mean...Y -0.0200050770710526
walking_downstairs 11 tBodyAcc.mean...Y -0.0178097721219565
walking_downstairs 12 tBodyAcc.mean...Y -0.018084266865793
walking_downstairs 13 tBodyAcc.mean...Y -0.0143723839108511
walking_downstairs 14 tBodyAcc.mean...Y -0.0200141413657778
walking_downstairs 15 tBodyAcc.mean...Y -0.00563047804309524
walking_downstairs 16 tBodyAcc.mean...Y -0.0183898583787234
walking_downstairs 17 tBodyAcc.mean...Y -0.0167359404347826
walking_downstairs 18 tBodyAcc.mean...Y -0.0168666920221818
walking_downstairs 19 tBodyAcc.mean...Y -0.0145942275069487
walking_downstairs 20 tBodyAcc.mean...Y -0.00964120773155556
walking_downstairs 21 tBodyAcc.mean...Y -0.0173195390157778
walking_downstairs 22 tBodyAcc.mean...Y -0.0197999371686389
walking_downstairs 23 tBodyAcc.mean...Y -0.0162111457238889
walking_downstairs 24 tBodyAcc.mean...Y -0.0145730348310909
walking_downstairs 25 tBodyAcc.mean...Y -0.0210170522987931
walking_downstairs 26 tBodyAcc.mean...Y -0.01262580966778
walking_downstairs 27 tBodyAcc.mean...Y -0.0135564467159091
walking_downstairs 28 tBodyAcc.mean...Y -0.0220230465913043
walking_downstairs 29 tBodyAcc.mean...Y -0.01494121505625
walking_downstairs 30 tBodyAcc.mean...Y -0.0174383900204839
walking_upstairs 1 tBodyAcc.mean...Y -0.0239531492643396
walking_upstairs 2 tBodyAcc.mean...Y -0.0214121132045833
walking_upstairs 3 tBodyAcc.mean...Y -0.0324109410555932
walking_upstairs 4 tBodyAcc.mean...Y -0.0319804295729615
walking_upstairs 5 tBodyAcc.mean...Y -0.0325269755153191
walking_upstairs 6 tBodyAcc.mean...Y -0.0272425385070588
walking_upstairs 7 tBodyAcc.mean...Y -0.0275639005607843
walking_upstairs 8 tBodyAcc.mean...Y -0.0282415136341463
walking_upstairs 9 tBodyAcc.mean...Y -0.0195101099975714
walking_upstairs 10 tBodyAcc.mean...Y -0.0143854920340426
walking_upstairs 11 tBodyAcc.mean...Y -0.0303157822055556
walking_upstairs 12 tBodyAcc.mean...Y -0.0263574903403846
walking_upstairs 13 tBodyAcc.mean...Y -0.0277392253910909
walking_upstairs 14 tBodyAcc.mean...Y -0.0204388180024074
walking_upstairs 15 tBodyAcc.mean...Y -0.0287523860708333
walking_upstairs 16 tBodyAcc.mean...Y -0.0143654945011765
walking_upstairs 17 tBodyAcc.mean...Y -0.0228645614308333
walking_upstairs 18 tBodyAcc.mean...Y -0.0222060684378914
walking_upstairs 19 tBodyAcc.mean...Y -0.0303986615775
walking_upstairs 20 tBodyAcc.mean...Y -0.0282258047588235
walking_upstairs 21 tBodyAcc.mean...Y -0.0237218695148936
walking_upstairs 22 tBodyAcc.mean...Y -0.0268622561133333
walking_upstairs 23 tBodyAcc.mean...Y -0.0323844029237255
walking_upstairs 24 tBodyAcc.mean...Y -0.0251979434569492
walking_upstairs 25 tBodyAcc.mean...Y -0.0269863524264615
walking_upstairs 26 tBodyAcc.mean...Y -0.0281633797398182
walking_upstairs 27 tBodyAcc.mean...Y -0.0200953324078431
walking_upstairs 28 tBodyAcc.mean...Y -0.0279443943478431
walking_upstairs 29 tBodyAcc.mean...Y -0.0299465312326531
walking_upstairs 30 tBodyAcc.mean...Y -0.0253311698786154
laying 1 tBodyAcc.mean...Z -0.11320355358
laying 2 tBodyAcc.mean...Z -0.107245610416667
laying 3 tBodyAcc.mean...Z -0.101300477506452
laying 4 tBodyAcc.mean...Z -0.110688150314815
laying 5 tBodyAcc.mean...Z -0.107937603673077
laying 6 tBodyAcc.mean...Z -0.133119570368421
laying 7 tBodyAcc.mean...Z -0.101361036576923
laying 8 tBodyAcc.mean...Z -0.102245365611111
laying 9 tBodyAcc.mean...Z -0.10754972144
laying 10 tBodyAcc.mean...Z -0.117168642362069
laying 11 tBodyAcc.mean...Z -0.108786578070175
laying 12 tBodyAcc.mean...Z -0.108160125666667
laying 13 tBodyAcc.mean...Z -0.104331864532258
laying 14 tBodyAcc.mean...Z -0.0868333315509804
laying 15 tBodyAcc.mean...Z -0.118530240291667
laying 16 tBodyAcc.mean...Z -0.107310493242857
laying 17 tBodyAcc.mean...Z -0.107006279704225
laying 18 tBodyAcc.mean...Z -0.107698927907692
laying 19 tBodyAcc.mean...Z -0.10898146186747
laying 20 tBodyAcc.mean...Z -0.104274322538235
laying 21 tBodyAcc.mean...Z -0.103253832233333
laying 22 tBodyAcc.mean...Z -0.110800924652778
laying 23 tBodyAcc.mean...Z -0.104256776291667
laying 24 tBodyAcc.mean...Z -0.107236237236111
laying 25 tBodyAcc.mean...Z -0.100428830260274
laying 26 tBodyAcc.mean...Z -0.105002540289474
laying 27 tBodyAcc.mean...Z -0.107699732837838
laying 28 tBodyAcc.mean...Z -0.1083448529625
laying 29 tBodyAcc.mean...Z -0.109462068173913
laying 30 tBodyAcc.mean...Z -0.1036581505
sitting 1 tBodyAcc.mean...Z -0.104544182255319
sitting 2 tBodyAcc.mean...Z -0.109218272456522
sitting 3 tBodyAcc.mean...Z -0.0983579203269231
sitting 4 tBodyAcc.mean...Z -0.10587459588
sitting 5 tBodyAcc.mean...Z -0.108540300265909
sitting 6 tBodyAcc.mean...Z -0.110127728709091
sitting 7 tBodyAcc.mean...Z -0.122464597625
sitting 8 tBodyAcc.mean...Z -0.104461049130435
sitting 9 tBodyAcc.mean...Z -0.07537846886
sitting 10 tBodyAcc.mean...Z -0.104253238796296
sitting 11 tBodyAcc.mean...Z -0.112840218339623
sitting 12 tBodyAcc.mean...Z -0.106307228960784
sitting 13 tBodyAcc.mean...Z -0.0972465110836735
sitting 14 tBodyAcc.mean...Z -0.100401490425926
sitting 15 tBodyAcc.mean...Z -0.11366125320339
sitting 16 tBodyAcc.mean...Z -0.0891404038405797
sitting 17 tBodyAcc.mean...Z -0.11362408509375
sitting 18 tBodyAcc.mean...Z -0.111904775824561
sitting 19 tBodyAcc.mean...Z -0.10870765430137
sitting 20 tBodyAcc.mean...Z -0.108369634515152
sitting 21 tBodyAcc.mean...Z -0.112057887741176
sitting 22 tBodyAcc.mean...Z -0.105827369516129
sitting 23 tBodyAcc.mean...Z -0.103808679294118
sitting 24 tBodyAcc.mean...Z -0.103041061426471
sitting 25 tBodyAcc.mean...Z -0.109160440476923
sitting 26 tBodyAcc.mean...Z -0.0974448692333333
sitting 27 tBodyAcc.mean...Z -0.105521912588571
sitting 28 tBodyAcc.mean...Z -0.111517939555556
sitting 29 tBodyAcc.mean...Z -0.1104118192
sitting 30 tBodyAcc.mean...Z -0.099515446133871
standing 1 tBodyAcc.mean...Z -0.110601817735849
standing 2 tBodyAcc.mean...Z -0.105908536055556
standing 3 tBodyAcc.mean...Z -0.101621722633148
standing 4 tBodyAcc.mean...Z -0.0961574905535714
standing 5 tBodyAcc.mean...Z -0.102171095696429
standing 6 tBodyAcc.mean...Z -0.112172831947368
standing 7 tBodyAcc.mean...Z -0.0997778303207547
standing 8 tBodyAcc.mean...Z -0.106114996837037
standing 9 tBodyAcc.mean...Z -0.0952747481333333
standing 10 tBodyAcc.mean...Z -0.107964083931818
standing 11 tBodyAcc.mean...Z -0.108686630425532
standing 12 tBodyAcc.mean...Z -0.105526999754098
standing 13 tBodyAcc.mean...Z -0.112124137754386
standing 14 tBodyAcc.mean...Z -0.103817701790667
standing 15 tBodyAcc.mean...Z -0.105910832679245
standing 16 tBodyAcc.mean...Z -0.103657729076923
standing 17 tBodyAcc.mean...Z -0.111432145565
standing 18 tBodyAcc.mean...Z -0.108453355945205
standing 19 tBodyAcc.mean...Z -0.10904190460274
standing 20 tBodyAcc.mean...Z -0.100402759931507
standing 21 tBodyAcc.mean...Z -0.110417855808989
standing 22 tBodyAcc.mean...Z -0.104967423820635
standing 23 tBodyAcc.mean...Z -0.1105970177575
standing 24 tBodyAcc.mean...Z -0.108222553855072
standing 25 tBodyAcc.mean...Z -0.107352957594595
standing 26 tBodyAcc.mean...Z -0.110237796416216
standing 27 tBodyAcc.mean...Z -0.107835818025
standing 28 tBodyAcc.mean...Z -0.106579385202532
standing 29 tBodyAcc.mean...Z -0.108659067476923
standing 30 tBodyAcc.mean...Z -0.108756209835593
walking 1 tBodyAcc.mean...Z -0.111148103547368
walking 2 tBodyAcc.mean...Z -0.105500357966102
walking 3 tBodyAcc.mean...Z -0.112674859827586
walking 4 tBodyAcc.mean...Z -0.11140306485
walking 5 tBodyAcc.mean...Z -0.107741776464286
walking 6 tBodyAcc.mean...Z -0.110303165877193
walking 7 tBodyAcc.mean...Z -0.110912234947368
walking 8 tBodyAcc.mean...Z -0.107252090833333
walking 9 tBodyAcc.mean...Z -0.110820512307692
walking 10 tBodyAcc.mean...Z -0.109057512132075
walking 11 tBodyAcc.mean...Z -0.106096304033898
walking 12 tBodyAcc.mean...Z -0.10316110632
walking 13 tBodyAcc.mean...Z -0.111431456192982
walking 14 tBodyAcc.mean...Z -0.106756369135593
walking 15 tBodyAcc.mean...Z -0.107621819518519
walking 16 tBodyAcc.mean...Z -0.108804049803922
walking 17 tBodyAcc.mean...Z -0.109792122032787
walking 18 tBodyAcc.mean...Z -0.104218315464286
walking 19 tBodyAcc.mean...Z -0.122736673192308
walking 20 tBodyAcc.mean...Z -0.113539477098039
walking 21 tBodyAcc.mean...Z -0.104319332403846
walking 22 tBodyAcc.mean...Z -0.107112510934783
walking 23 tBodyAcc.mean...Z -0.113382994084746
walking 24 tBodyAcc.mean...Z -0.110595952913793
walking 25 tBodyAcc.mean...Z -0.108737636297297
walking 26 tBodyAcc.mean...Z -0.108927011474576
walking 27 tBodyAcc.mean...Z -0.112822289263158
walking 28 tBodyAcc.mean...Z -0.103714705396296
walking 29 tBodyAcc.mean...Z -0.106632427301887
walking 30 tBodyAcc.mean...Z -0.0986247068969231
walking_downstairs 1 tBodyAcc.mean...Z -0.107566190908163
walking_downstairs 2 tBodyAcc.mean...Z -0.116812942382979
walking_downstairs 3 tBodyAcc.mean...Z -0.116139842908163
walking_downstairs 4 tBodyAcc.mean...Z -0.1067775246
walking_downstairs 5 tBodyAcc.mean...Z -0.100319930659574
walking_downstairs 6 tBodyAcc.mean...Z -0.107209356208333
walking_downstairs 7 tBodyAcc.mean...Z -0.096938308587234
walking_downstairs 8 tBodyAcc.mean...Z -0.107598135394737
walking_downstairs 9 tBodyAcc.mean...Z -0.0910278793952381
walking_downstairs 10 tBodyAcc.mean...Z -0.110848597247368
walking_downstairs 11 tBodyAcc.mean...Z -0.111070149978261
walking_downstairs 12 tBodyAcc.mean...Z -0.10955593226087
